	WT Recon 3	MCF7	MCF7_F	MCF7_T	LTED
EX_o2_e	[-260.196, -0.641]	[-91.662, -0.032]	[-88.284, -0.051]	[-73.221, -0.021]	[-70.686, -0.014]
ATPS4mi	[1.016, 30.455]	[0.0, 0.001]	[0.0, 31.684]	[0.0, 0.001]	[0.0, 20.981]
PGK	[-1000.0, 25.752]	[-1.935, -0.301]	[-2.688, 30.011]	[-1.946, 0.038]	[-1.963, 21.375]
PYK	[0.0, 1000.0]	[0.0, 216.423]	[0.0, 308.679]	[0.0, 194.022]	[0.0, 280.879]
EX_glc_D_e	[-1.0, -0.138]	[-1.0, -0.466]	[-1.0, 0.0]	[-1.0, -0.37]	[-1.0, 0.0]
EX_glu_L_e	[-0.1, 0.0]	[-0.1, 0.0]	[-0.1, 0.0]	[-0.1, 0.0]	[-0.1, 0.0]
EX_gln_L_e	[-0.1, 0.0]	[-0.1, 0.0]	[-0.1, 0.0]	[-0.1, 0.0]	[-0.1, 0.0]
EX_phe_L_e	[-0.1, -0.071]	[-0.03, -0.029]	[-0.025, -0.024]	[-0.025, -0.024]	[-0.045, -0.017]
EX_lac_L_e	[0.0, 1.827]	[0.0, 2.067]	[0.0, 2.13]	[0.0, 2.173]	[0.0, 2.448]
EX_ppa_e	[0.008, 38.691]	[0.003, 4.747]	[0.003, 8.828]	[0.003, 9.077]	[0.002, 8.259]
