,rxn ID,subSystem
0,10FTHF5GLUtl,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
1,10FTHF5GLUtm,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, lysosomal']"
2,10FTHF6GLUtl,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Ubiquinone synthesis', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
3,10FTHF6GLUtm,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Ubiquinone synthesis', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, lysosomal']"
4,10FTHF7GLUtl,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Ubiquinone synthesis', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, extracellular']"
5,10FTHF7GLUtm,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Ubiquinone synthesis', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial', 'Transport, lysosomal']"
6,10FTHFtl,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
7,10FTHFtm,"['Ubiquinone synthesis', 'Tyrosine metabolism', 'Taurine and hypotaurine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Taurine and hypotaurine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal']"
8,11DOCRTSLtm,"['Ubiquinone synthesis', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal']"
9,11DOCRTSLtr,"['Ubiquinone synthesis', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, endoplasmic reticular']"
10,11DOCRTSTRNtm,"['Ubiquinone synthesis', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Tyrosine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal']"
