rxns_subSystems1	rxns_subSystems2
10FTHF5GLUtl	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Taurine and hypotaurine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
10FTHF5GLUtm	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Taurine and hypotaurine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, lysosomal
10FTHF6GLUtl	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Ubiquinone synthesis * Taurine and hypotaurine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
10FTHF6GLUtm	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Ubiquinone synthesis * Taurine and hypotaurine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, lysosomal
10FTHF7GLUtl	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Ubiquinone synthesis * Taurine and hypotaurine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular
10FTHF7GLUtm	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Ubiquinone synthesis * Taurine and hypotaurine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, lysosomal
10FTHFtl	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Transport, extracellular
10FTHFtm	Ubiquinone synthesis * Tyrosine metabolism * Taurine and hypotaurine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Taurine and hypotaurine metabolism * Transport, mitochondrial * Transport, lysosomal
11DOCRTSLtm	Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, lysosomal
11DOCRTSLtr	Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, endoplasmic reticular
11DOCRTSTRNtm	Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, lysosomal
11DOCRTSTRNtr	Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Arginine and proline metabolism * Tyrosine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, endoplasmic reticular
13DAMPPOX	Ubiquinone synthesis * Transport, nuclear * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Ubiquinone synthesis * Transport, mitochondrial * Transport, extracellular
1a_24_25VITD2Hm	Ubiquinone synthesis * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, lysosomal
1a_25VITD2Hm	Ubiquinone synthesis * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, lysosomal
1MNCAMti	Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tryptophan metabolism
1PPDCRp	Ubiquinone synthesis * Ubiquinone synthesis * Ubiquinone synthesis * Tyrosine metabolism * Tyrosine metabolism * Transport, extracellular * Transport, mitochondrial
24_25DHVITD2t	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial
24_25DHVITD2tm	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, lysosomal
24_25DHVITD3t	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial
24_25DHVITD3tm	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial * Transport, lysosomal
24_25VITD2Hm	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, lysosomal
24_25VITD3Hm	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Methionine and cysteine metabolism * Transport, lysosomal
24NPHte	Tyrosine metabolism * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Ubiquinone synthesis * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular
25HVITD2t	Tyrosine metabolism * Transport, mitochondrial * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial
25HVITD2tin_m	Tyrosine metabolism * Transport, mitochondrial * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal
25HVITD3t	Tyrosine metabolism * Transport, mitochondrial * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial
25HVITD3tin_m	Tyrosine metabolism * Transport, mitochondrial * Methionine and cysteine metabolism * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Transport, mitochondrial * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal
25VITD2Hm	Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, lysosomal
25VITD3Hm	Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Methionine and cysteine metabolism * Tyrosine metabolism * Tyrosine metabolism * Transport, nuclear * Methionine and cysteine metabolism * Transport, lysosomal
2AMACHYD	Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Tyrosine metabolism
2AMACSULT	Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Arginine and proline metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism
2AMADPTm	Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, lysosomal
2DR1PP	Tyrosine metabolism * Tyrosine metabolism * Transport, extracellular * Ubiquinone synthesis * Ubiquinone synthesis * Ubiquinone synthesis
2HBO	Tyrosine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial
2HBt2	Tyrosine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism
2HCO3_NAt	Tyrosine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial * Transport, nuclear * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Transport, mitochondrial
2MCITt	Tyrosine metabolism * Tyrosine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Tyrosine metabolism * Transport, mitochondrial
2OXOADOXm	Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal
2OXOADPTm	Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, lysosomal
34DHOXPEGOX	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular * Ubiquinone synthesis * Transport, mitochondrial * Taurine and hypotaurine metabolism * Transport, mitochondrial * Transport, extracellular
34DHOXPEGt	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, extracellular * Ubiquinone synthesis * Transport, mitochondrial * Taurine and hypotaurine metabolism * Transport, mitochondrial
34DHPHAMT	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Ubiquinone synthesis * Methionine and cysteine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism
34DHPHEt	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Ubiquinone synthesis * Methionine and cysteine metabolism * Transport, mitochondrial * Transport, mitochondrial
34DHPLACOX	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular
34DHPLACOX_NADP_	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Ubiquinone synthesis * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
34DHXMANDACOX	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular
34DHXMANDACOX_NADP_	Transport, nuclear * Valine, leucine, and isoleucine metabolism * Tyrosine metabolism * Methionine and cysteine metabolism * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, mitochondrial * Tyrosine metabolism * Ubiquinone synthesis * Transport, extracellular
